DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IS,2014,153.4,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IS,2015,166.9,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IS,2016,190.5,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IS,2017,214.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IS,2018,206.8,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IS,2019,196.1,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IS,2020,183.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IS,2021,192.5,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2010,113.8,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2011,113.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2012,110.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2013,108.4,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2014,107.5,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2015,107.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2016,106.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2017,105.5,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2018,104.7,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2019,102.9,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2020,99.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2021,99.6,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LT,2010,39.8,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LT,2011,43.0,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LT,2012,45.5,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LT,2013,47.8,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LT,2014,49.2,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LT,2015,50.4,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LT,2016,52.3,
ESTAT:NAMA_10_PC$DV_648(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LT,2017,54.9,
